F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-6.366462912410497665e-12,4.320099833421409130e-12,-1.114131009671837091e-11,-8.185452315956354141e-12,-4.774847184307873249e-12,1.205080479849129915e-11,2.455635694786906242e-11,1.023181539494544268e-11,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,0.000000000000000000e+00
-7.736945225712588581e+02,-2.020699276030145484e+02,-5.679802807509322520e+02,-6.117807685314105584e+02,-2.053423885967492879e+02,-3.700400092403845065e+02,-9.373409806514127922e+02,-4.160417650259594211e+02,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,1.000000000000000000e+00
-1.307697437876450294e+03,-4.791587638769094610e+02,-9.996677736559793175e+02,-1.005819910988642505e+03,-5.547416301890300474e+02,-7.109841677213341882e+02,-1.414465447495447734e+03,-7.315869800219329591e+02,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,2.000000000000000000e+00
-1.514449958867401165e+03,-8.585761054723745929e+02,-1.299464481702550529e+03,-1.163972252509254531e+03,-9.525189581877523324e+02,-1.050096058708514192e+03,-1.643061511246276496e+03,-1.004500845787656317e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,3.000000000000000000e+00
-1.439100876962424536e+03,-1.324864207665250660e+03,-1.591100018737373375e+03,-1.248546906237527992e+03,-1.277473155958417692e+03,-1.454935472425378521e+03,-2.052734912501993676e+03,-1.364521108874378115e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,4.000000000000000000e+00
-1.288655863574908381e+03,-1.781142113183071160e+03,-1.933803571558470594e+03,-1.400261331639997252e+03,-1.580553982191474688e+03,-1.898852983193911086e+03,-2.633939318560722313e+03,-1.781856919700854633e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,5.000000000000000000e+00
-1.469613463671653790e+03,-2.035501740977561894e+03,-2.208389446870492975e+03,-1.588055868055814244e+03,-1.870232525608669903e+03,-2.193136837783610645e+03,-3.318696835482533515e+03,-2.042754680284831920e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,6.000000000000000000e+00
-2.106590870316774726e+03,-2.036720613192216661e+03,-2.293799991874998341e+03,-1.695443146575490800e+03,-2.025314145399459903e+03,-2.235564220964722153e+03,-4.192307533372633770e+03,-2.053747298312400289e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,7.000000000000000000e+00
-2.752480771504201584e+03,-2.045661837045422544e+03,-2.285257669547144815e+03,-1.698743802785195612e+03,-2.061507954410871207e+03,-2.233661209342183611e+03,-5.091207437033102906e+03,-2.027780909584414985e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,8.000000000000000000e+00
-3.108680128408358087e+03,-2.305013999790719481e+03,-2.373572025728903554e+03,-1.682578344342942273e+03,-2.162329199864169823e+03,-2.435081157406887542e+03,-5.764504000042696134e+03,-2.197141602146431069e+03,9.484992027282714844e+00,-5.736890435218811035e-01,-1.032640218734741211e+00,9.000000000000000000e+00
