F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-3.046807250939309597e-11,1.136868377216160297e-11,8.640199666842818260e-12,1.364242052659392357e-11,4.547473508864641190e-13,2.683009370230138302e-11,-9.094947017729282379e-12,-1.818989403545856476e-12,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,0.000000000000000000e+00
-2.955481746934492548e+02,-3.547753345006635755e+02,-6.916538986164255221e+02,-6.282793369255186917e+02,-2.655842059830174549e+02,-6.337255919844997152e+02,-1.030628299098471416e+03,-3.967829673193346025e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,1.000000000000000000e+00
-4.196208031817059236e+02,-5.230885502935600471e+02,-9.255112716666685628e+02,-1.355077639473586260e+03,-3.808650807011522375e+02,-8.825391283714602650e+02,-1.967927955520897285e+03,-5.616876887143116619e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,2.000000000000000000e+00
-3.500335347102936794e+02,-4.939571127904948753e+02,-7.920293586336363205e+02,-2.176431489145022169e+03,-3.339942504017130886e+02,-8.055630301933933879e+02,-2.717561086298040209e+03,-5.112939600836755289e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,3.000000000000000000e+00
-2.076325762605902128e+02,-3.921040553771795203e+02,-6.408833303974761293e+02,-2.683144802313649052e+03,-2.366318714334597644e+02,-6.964128166693001276e+02,-3.107865160140250737e+03,-3.870184348740333462e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,4.000000000000000000e+00
-5.963484839006878246e+01,-2.684010646388285295e+02,-5.261427722066923707e+02,-2.551322159534147431e+03,-1.390777702558270903e+02,-6.155673367485446761e+02,-3.258629699902535322e+03,-2.157547037961130627e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,5.000000000000000000e+00
1.549148532328122201e+02,-6.732415210431804553e+01,-2.997884869286071989e+02,-2.381849436932177468e+03,2.763560819872282082e+01,-4.309907386017951012e+02,-3.706791289960383438e+03,2.635244722806351092e+01,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,6.000000000000000000e+00
4.061263931626453996e+02,1.553383776707501056e+02,-3.411133049371710513e+01,-3.006289473565814205e+03,2.399392698708329590e+02,-2.015453136056330550e+02,-4.489174475356623589e+03,2.281455897739197098e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,7.000000000000000000e+00
5.311391259937058749e+02,2.420871841503314954e+02,7.815966027027207019e+01,-4.060347268035242450e+03,3.417987346600766614e+02,-1.234258038228058467e+02,-4.897145542250194922e+03,2.794252036036082245e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,8.000000000000000000e+00
5.796345763848180468e+02,2.698428892680033186e+02,1.308115665586828982e+02,-4.523788685394953973e+03,3.667374330613256461e+02,-1.140915415920833311e+02,-4.976671235663438893e+03,3.303691291345060108e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,9.000000000000000000e+00
8.221463165528798527e+02,5.052597398317757325e+02,3.757172673353118171e+02,-4.419911161332133815e+03,5.584818900480308912e+02,1.017149483005414368e+02,-5.791315721744795155e+03,6.013825267090112447e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,1.000000000000000000e+01
1.190466608863658166e+03,8.626088693609567599e+02,7.260466603583702181e+02,-4.571924156689661686e+03,8.693972793569762416e+02,4.365327719086262732e+02,-7.137396597013261271e+03,9.506106932384971060e+02,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,1.100000000000000000e+01
1.317189097731615220e+03,9.786744968796265312e+02,8.813873838119570792e+02,-5.142505508307596756e+03,9.788006751739426363e+02,5.460033588926376069e+02,-7.572705466046091715e+03,1.060704444429396972e+03,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,1.200000000000000000e+01
1.291677364829015005e+03,9.396632366306162112e+02,9.055319256583238712e+02,-5.671721022754723890e+03,9.560668639088851251e+02,5.133044894473960085e+02,-7.501112266783118685e+03,1.027210880358702298e+03,9.523238182067871094e+00,2.677215635776519775e-01,-1.529837548732757568e-01,1.300000000000000000e+01
