F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
4.547473508864641190e-12,-1.818989403545856476e-11,2.273736754432320595e-12,-6.366462912410497665e-12,4.547473508864641190e-13,2.819433575496077538e-11,5.093170329928398132e-11,1.591615728102624416e-11,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,0.000000000000000000e+00
-4.540652712484566109e+02,-3.839946298467584711e+02,-3.949208093131810529e+02,-1.828997303478699905e+02,-3.794698639575431116e+02,-2.545247245711061623e+02,-9.709744166957898415e+02,-5.922622699299947726e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.000000000000000000e+00
-6.111061562447353026e+02,-5.248592898533092921e+02,-4.983925913632701850e+02,-3.941713607439837688e+02,-5.271953054568061816e+02,-3.475117730380616194e+02,-2.039240278181498979e+03,-7.258886888853103301e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.000000000000000000e+00
-5.070474716721946606e+02,-4.549425428650815775e+02,-3.718784706039414232e+02,-8.926118110056213482e+02,-4.671649832980422161e+02,-2.978295527317563938e+02,-3.148190888448340957e+03,-5.588603099513234156e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.000000000000000000e+00
-3.897554905761530790e+02,-3.798480987828074831e+02,-2.686735190573913314e+02,-1.726546248006234919e+03,-3.949377764528860553e+02,-2.494287159958093980e+02,-3.941104911855016326e+03,-4.990944905554902107e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,4.000000000000000000e+00
-3.509185151077917908e+02,-3.655880549641408379e+02,-2.462489718149058717e+02,-2.371102254730668392e+03,-3.891775112994321262e+02,-2.505017390300226907e+02,-4.163761932969153349e+03,-5.495818289355197521e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,5.000000000000000000e+00
-2.341016079532519143e+02,-2.630148326195715072e+02,-1.323491670900898498e+02,-2.324456733805523072e+03,-3.194571004329709467e+02,-1.704187936267289842e+02,-4.307131300039632151e+03,-4.217873328198136278e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,6.000000000000000000e+00
3.525186488241979532e+01,-9.892302380231285497e+00,1.336095323658119014e+02,-1.892792099139131096e+03,-1.133106045581416765e+02,5.526877241109741590e+01,-4.929889139249897198e+03,-1.070480538315559897e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,7.000000000000000000e+00
2.723128306575936222e+02,2.091555872350306799e+02,3.711272390805720534e+02,-1.895874332888598474e+03,7.650307637069818156e+01,2.595844743356560684e+02,-5.648374848951732929e+03,1.034296828123653995e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,8.000000000000000000e+00
3.419779190083331741e+02,2.615201541440997062e+02,4.545662859616550122e+02,-2.584384686505079117e+03,1.257523089599619652e+02,3.053425952478428371e+02,-5.892293356068051253e+03,1.096872159370789177e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,9.000000000000000000e+00
4.212550821352574530e+02,3.207969329898182878e+02,5.289053130461038563e+02,-3.288929077352102468e+03,1.794601475131664756e+02,3.490333036228621495e+02,-6.179385768995493891e+03,1.499950302442184693e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.000000000000000000e+01
6.714005826084794535e+02,5.517081365001442919e+02,7.469619500148942279e+02,-3.318444683152559264e+03,3.785458015217423053e+02,5.577161499593444205e+02,-7.103733089637616104e+03,3.878933267824299946e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.100000000000000000e+01
9.212200062536785481e+02,7.946966693617710007e+02,1.002486920956249151e+03,-2.910406154364345639e+03,5.790346161217191820e+02,7.873317526585829000e+02,-7.988198696534116607e+03,6.631161275777408264e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.200000000000000000e+01
1.029495772201713635e+03,9.023289856286605755e+02,1.161707691267374003e+03,-2.931417950223156367e+03,6.649497794696417259e+02,8.923516665369891143e+02,-8.339367256112518589e+03,8.037602575726125451e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.300000000000000000e+01
1.170946433249688880e+03,1.028550058197631643e+03,1.301822949347373651e+03,-3.669877189267904214e+03,7.931647005442971476e+02,1.014234613737007066e+03,-9.017609150788191982e+03,8.889608506201395812e+02,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.400000000000000000e+01
1.396009531878215739e+03,1.233277254871581817e+03,1.474843913080828543e+03,-4.405660249466223831e+03,9.966928121581859159e+02,1.205042383323386730e+03,-1.016816590833456212e+04,1.019122887545565163e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.500000000000000000e+01
1.489223762840820882e+03,1.331128377980225423e+03,1.591836197227346474e+03,-4.457288500923170432e+03,1.072005934240816032e+03,1.283728625987366968e+03,-1.062771603795488409e+04,1.155605021189453737e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.600000000000000000e+01
1.561479394547777019e+03,1.415786562263586347e+03,1.732586001364534241e+03,-4.125785133585749463e+03,1.126221517363861949e+03,1.352409526500555330e+03,-1.084138672647181374e+04,1.336221038237445555e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.700000000000000000e+01
1.924612352621224773e+03,1.755619676477065923e+03,2.050706067311183233e+03,-4.006806905505086434e+03,1.453157615728474866e+03,1.683158087928457689e+03,-1.240615867552181953e+04,1.622792235762515475e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.800000000000000000e+01
2.242137641203025851e+03,2.039306917140276255e+03,2.296469390508956167e+03,-3.934849314570392380e+03,1.745975727301515235e+03,1.961957022376729128e+03,-1.398255167909987358e+04,1.789031982703040740e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,1.900000000000000000e+01
2.043567945269998972e+03,1.850252316477390877e+03,2.195133697486253368e+03,-3.531027042344115216e+03,1.565474957598161609e+03,1.766749094568210921e+03,-1.335081269413236987e+04,1.670528841834732248e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.000000000000000000e+01
1.981359449565509522e+03,1.797653371826214652e+03,2.211587388712730899e+03,-3.221620132912306417e+03,1.498140995019525690e+03,1.703147593747625706e+03,-1.321044632449186611e+04,1.719703817665161978e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.100000000000000000e+01
2.789096249511898350e+03,2.549571254469912674e+03,2.818171604432442564e+03,-3.469704791432286129e+03,2.217595285330961360e+03,2.440104260873146359e+03,-1.683214961944432798e+04,2.297755539341615076e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.200000000000000000e+01
3.224778622225122490e+03,2.960502643275901391e+03,3.179907772296669009e+03,-3.485810810493896497e+03,2.605909281380522771e+03,2.836270522140487174e+03,-1.884947787594542751e+04,2.610634227837393155e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.300000000000000000e+01
1.433707246218463752e+03,1.332490207093778281e+03,2.083136333914281749e+03,-2.196202030093710619e+03,9.785995893246117703e+02,1.196382710758295389e+03,-1.105261771048201626e+04,1.617602041465141156e+03,9.484992027282714844e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.400000000000000000e+01
-1.746674617143974501e+03,-1.562907505583840020e+03,8.200061964122505742e+01,-1.725955822343587442e+02,-1.912070279515544371e+03,-1.709733633684937104e+03,3.033902063887738223e+03,-1.288902342686160409e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,2.500000000000000000e+01
-3.501425195994673686e+03,-3.148249439372224515e+03,-9.864365874324532797e+02,9.717450238821757011e+02,-3.513790155380364467e+03,-3.307068848897828957e+03,1.107246718571086240e+04,-1.006364318299860997e+03,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,2.600000000000000000e+01
-3.054354517414558813e+03,-2.718087867351607656e+03,-6.197633444873783901e+02,8.966014932754137590e+02,-3.115963447682875085e+03,-2.888696588468882510e+03,9.495092655828575516e+03,-6.303908129333623265e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,2.700000000000000000e+01
-2.294451434185407379e+03,-2.008991313472047295e+03,-6.061894458032952571e+01,7.195601181207580339e+02,-2.427153178853077407e+03,-2.188717399866081450e+03,6.269082554471317962e+03,-1.424424665095599494e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,2.800000000000000000e+01
-2.421282378823054387e+03,-2.123125958586349498e+03,-1.074213156021813802e+02,1.061511459681923498e+03,-2.539541967028158524e+03,-2.310963512233818619e+03,6.402959487326603266e+03,-2.300947898943310292e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,2.900000000000000000e+01
-2.642985064763642640e+03,-2.328750991834353954e+03,-2.370242128924544431e+02,1.414953979128675655e+03,-2.743484749329771603e+03,-2.526954892087223016e+03,6.697077696996018858e+03,-3.710969332305243142e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.000000000000000000e+01
-2.314984907632788236e+03,-2.021070389551900689e+03,9.319922452586979489e+00,1.410921227408577124e+03,-2.455893593990836507e+03,-2.231231952662927142e+03,5.120382560218991784e+03,-1.223375434069546372e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.100000000000000000e+01
-1.967971023698889439e+03,-1.682097568536470590e+03,3.048684327462594865e+02,1.381407096028071237e+03,-2.148867750894104574e+03,-1.902333605752559379e+03,4.335033436160951169e+03,1.939056482073260668e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.200000000000000000e+01
-1.966464881472227717e+03,-1.661137383270663577e+03,3.755686133286210406e+02,1.577867746278068125e+03,-2.143678419316751388e+03,-1.887670917315952920e+03,5.058945375756366957e+03,2.675275401322402331e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.300000000000000000e+01
-1.957579980638053712e+03,-1.649201657969751523e+03,4.100319063574709162e+02,1.811489581885119378e+03,-2.123731165913857240e+03,-1.878877440514555474e+03,4.708467393034457928e+03,2.555951542933067913e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.400000000000000000e+01
-1.774156110280100165e+03,-1.484543601824532061e+03,5.352506275998218825e+02,1.933437724494099257e+03,-1.951051466810011789e+03,-1.717035463933572828e+03,2.996109073714972055e+03,3.376081018461429721e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.500000000000000000e+01
-1.632575718932356722e+03,-1.346727074028878633e+03,6.607824166628455487e+02,2.014297688297968534e+03,-1.828958849004102376e+03,-1.585971707427077035e+03,2.220916115211648503e+03,4.824251173654131435e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.600000000000000000e+01
-1.544005570117303705e+03,-1.246077023481347624e+03,7.866216734921461011e+02,2.095777143957893713e+03,-1.759099414933593380e+03,-1.497180929865901817e+03,2.580985188232045402e+03,6.474033753857027023e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.700000000000000000e+01
-1.377405054604280167e+03,-1.082117412300038268e+03,9.537856900636934370e+02,2.178102697920745868e+03,-1.610655074056873673e+03,-1.345626998851032567e+03,2.337340538107089742e+03,7.950993697271392193e+02,9.523238182067871094e+00,1.529837548732757568e-01,-2.677215635776519775e-01,3.800000000000000000e+01
