F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
3.910827217623591423e-11,3.183231456205248833e-12,6.821210263296961784e-12,6.366462912410497665e-12,5.002220859751105309e-12,-4.547473508864641190e-13,-1.728039933368563652e-11,-5.002220859751105309e-12,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,0.000000000000000000e+00
-2.796997110320180582e+02,-4.531043782590031697e+02,-4.538578872892871914e+02,-9.602966359339052360e+02,-2.906500730959214707e+02,-2.278553656308490645e+02,-7.364971058935202564e+02,-6.669257804437716004e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.000000000000000000e+00
-4.243933880207755465e+02,-6.665522450774906247e+02,-6.668637208556092446e+02,-1.425124858897878312e+03,-4.716410348396552763e+02,-3.899732891000580821e+02,-1.422317223290229322e+03,-9.171757412534225296e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.000000000000000000e+00
-3.975499835637242541e+02,-6.314138119695035130e+02,-6.237206272743246700e+02,-1.346043420053770205e+03,-5.061948436148616111e+02,-4.250233346199606785e+02,-1.886992599284928474e+03,-7.864026890110985732e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,3.000000000000000000e+00
-2.728017783800692087e+02,-5.111588993327306980e+02,-4.867801589520649941e+02,-1.278725034041193339e+03,-4.448314880700706908e+02,-3.469987588324811441e+02,-2.098066396384562267e+03,-6.068747461103546357e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,4.000000000000000000e+00
-1.659174494720514303e+02,-4.402488845102911910e+02,-3.990096942993716311e+02,-1.833096764254978552e+03,-3.841069150920188804e+02,-2.703404600638245938e+02,-2.193480411150534110e+03,-5.702257552782302810e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,5.000000000000000000e+00
-1.208251429425836250e+02,-4.232919412183739496e+02,-3.736983298715647379e+02,-2.866557855215770360e+03,-3.741122952071016243e+02,-2.706573810268348552e+02,-2.283108854292554497e+03,-6.027184761124199213e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,6.000000000000000000e+00
-7.071694189903155348e+01,-3.817394596340386670e+02,-3.302295158515380535e+02,-3.565507568174141397e+03,-3.674333329145340485e+02,-2.754709561133652187e+02,-2.418652269537615211e+03,-5.579069951434355517e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,7.000000000000000000e+00
8.011882889273010733e+01,-2.399602275675033525e+02,-1.872057877017605279e+02,-3.511792303951451686e+03,-2.738202146607873146e+02,-1.629412494138036891e+02,-2.834065336999392912e+03,-3.800794929714509180e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,8.000000000000000000e+00
3.125488573104830721e+02,-2.340341661229808778e+01,3.399452242662277968e+01,-3.222212978733801265e+03,-9.569720589638313868e+01,4.461880050843046774e+01,-3.639520755036936407e+03,-1.483186159294630215e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,9.000000000000000000e+00
4.766691510449659290e+02,1.269921679606443377e+02,2.005264243453793824e+02,-3.332757271684258740e+03,3.714837992466391370e+01,1.801410007413819585e+02,-4.326334033143235501e+03,-1.613796382928489948e+01,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.000000000000000000e+01
5.135306947536114421e+02,1.514351547589546954e+02,2.505607484972269958e+02,-3.720327800261697575e+03,6.137200044171163427e+01,1.850205822272200749e+02,-4.536909931455910737e+03,-1.553922401769432327e+01,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.100000000000000000e+01
5.874389044193017071e+02,2.084556189449276644e+02,3.189768536088606652e+02,-3.846454850899938265e+03,1.132472487534432730e+02,2.295118192098932468e+02,-4.956040052103496237e+03,3.357127945692468529e+01,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.200000000000000000e+01
8.129349665352199281e+02,4.218259251532433609e+02,5.260831272176030780e+02,-3.599859096132767263e+03,2.976996732136633455e+02,4.303848980989246229e+02,-6.067769139788824759e+03,2.612082018386072377e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.300000000000000000e+01
1.029950558106999779e+03,6.431110652013410345e+02,7.610578666240182883e+02,-3.376742310865307900e+03,4.824885718702996655e+02,6.337787447073135354e+02,-6.992000172013506017e+03,5.149356680380537910e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.400000000000000000e+01
1.109032041708524048e+03,7.270601322759182494e+02,8.844294093706114381e+02,-3.512252975599352794e+03,5.542758796681850981e+02,7.029532039864966464e+02,-7.268351756862023649e+03,6.079545256668441198e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.500000000000000000e+01
1.199001186990047700e+03,7.976508911370351598e+02,9.679030048879988044e+02,-3.892760822185877259e+03,6.345585870311783765e+02,7.628305337320409762e+02,-7.977889098289418143e+03,6.247026772082890602e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.600000000000000000e+01
1.382420470442873466e+03,9.542808502092748313e+02,1.107131494960269492e+03,-4.087972946961601338e+03,7.880724302776334298e+02,9.039626054140469478e+02,-9.285956217678487519e+03,7.331499369983387169e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.700000000000000000e+01
1.504855207330999519e+03,1.079238107312051170e+03,1.250053582919567134e+03,-3.884701612823040705e+03,8.835351353465300690e+02,1.010960604485314889e+03,-9.817366370186309723e+03,9.143097497063674837e+02,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.800000000000000000e+01
1.596797730537291272e+03,1.184126338423850711e+03,1.400813818948952076e+03,-3.607660045001087383e+03,9.588128400513689940e+02,1.105617354740169503e+03,-1.000559251047436010e+04,1.096064293468296682e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,1.900000000000000000e+01
1.853819576093918840e+03,1.418593162146767327e+03,1.630821497375955232e+03,-3.583049297110329462e+03,1.187616685479030139e+03,1.334540745903690095e+03,-1.164057292604551549e+04,1.270182258444431909e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.000000000000000000e+01
2.064865673437710939e+03,1.600093202451589150e+03,1.790778247735667492e+03,-3.514663333142781994e+03,1.374346933358317301e+03,1.502381957605027537e+03,-1.330366768063556447e+04,1.348793672197660726e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.100000000000000000e+01
1.938226456679944704e+03,1.493729525300749856e+03,1.737600909238328086e+03,-3.089716822891247830e+03,1.255187346579624091e+03,1.373074627771032510e+03,-1.258467618381188913e+04,1.299500056115553207e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.200000000000000000e+01
1.945693324225204378e+03,1.522561435627337005e+03,1.808217183264489222e+03,-2.838927049747894671e+03,1.249634425653480093e+03,1.382136713971613972e+03,-1.246202686787411039e+04,1.414258527574072787e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.300000000000000000e+01
2.571573886512943773e+03,2.096394219005136620e+03,2.290594150817246828e+03,-3.218252929768062131e+03,1.792918769275227760e+03,1.947216462367516215e+03,-1.646892961750483664e+04,1.858022194533862603e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.400000000000000000e+01
2.885422931082091964e+03,2.380170956017222125e+03,2.550343175096346386e+03,-3.234654398232032690e+03,2.070303048545522870e+03,2.227526307694085517e+03,-1.856720644951048962e+04,2.059577316261756550e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.500000000000000000e+01
1.568178876545355934e+03,1.219475837097853628e+03,1.746559143061528630e+03,-1.610940126280480854e+03,9.176089585011861800e+02,1.059586467154010052e+03,-9.706908263087751038e+03,1.370965336790510946e+03,9.484992027282714844e+00,1.912296712398529053e-01,-3.824593424797058105e-01,2.600000000000000000e+01
-7.267134988568921017e+02,-7.909523686694997195e+02,3.324383551755011013e+02,9.252541595704285555e+02,-1.096720861727510282e+03,-9.631213235670313679e+02,6.034797755434316059e+03,2.334734493845203360e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.700000000000000000e+01
-1.953385550350225913e+03,-1.843626766573372151e+03,-3.696468230346481505e+02,2.355224722542328891e+03,-2.174881065813481200e+03,-2.028234241988340273e+03,1.497714474138530932e+04,-2.713246246985554535e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.800000000000000000e+01
-1.591829501995849569e+03,-1.496313308122832495e+03,-5.395523762989057559e+01,2.232627724239197050e+03,-1.855179186675392430e+03,-1.689204606993171637e+03,1.328026272563215025e+04,3.723653641395310387e+01,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,2.900000000000000000e+01
-1.042957846540287392e+03,-1.002373293608447511e+03,3.485108326045919966e+02,1.956140452824814020e+03,-1.366962236513134712e+03,-1.198402675069078214e+03,9.766779659382871614e+03,3.525858247739628268e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.000000000000000000e+01
-1.152282316247362360e+03,-1.106209109553212329e+03,2.945224722772494488e+02,2.313318441290175542e+03,-1.458987706807451332e+03,-1.303102116849671347e+03,9.962107397437699547e+03,2.661592750629282591e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.100000000000000000e+01
-1.299051265773426849e+03,-1.238459802447537413e+03,2.168381697928668927e+02,2.663413242912120040e+03,-1.592035857096540440e+03,-1.440474069891397903e+03,1.038985947773131556e+04,2.004969681899409579e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.200000000000000000e+01
-1.012028308820189977e+03,-9.655134832880319209e+02,4.513298729786158674e+02,2.568128085937104061e+03,-1.349126994645697323e+03,-1.181645833050541114e+03,8.709594839112754926e+03,4.444257892190472603e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.300000000000000000e+01
-7.204980617857249854e+02,-6.763232988374252272e+02,7.119511124113745382e+02,2.492898254605182046e+03,-1.097699898719585235e+03,-9.110914234606298123e+02,7.505225328739517863e+03,7.050290382376845173e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.400000000000000000e+01
-7.206168657383041136e+02,-6.582909549473995412e+02,7.642998194920332935e+02,2.733200424317025409e+03,-1.092730954776819090e+03,-9.065127038908426584e+02,7.609288092915379821e+03,7.354819804134456263e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.500000000000000000e+01
-7.327907767552878795e+02,-6.703329079697005000e+02,7.711969630027712128e+02,2.971462082976906458e+03,-1.093258242650918874e+03,-9.245163617349892320e+02,6.909380155965531230e+03,6.942693718132857157e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.600000000000000000e+01
-5.896408718040033818e+02,-5.428150391097426564e+02,8.770879346545173121e+02,3.010969524504673700e+03,-9.602409881426647189e+02,-8.023623762982899734e+02,5.517791389352283659e+03,7.748115940558163857e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.700000000000000000e+01
-4.429856087237902784e+02,-3.936073918734516610e+02,1.022373104378832636e+03,3.024698562156310800e+03,-8.283756389045906872e+02,-6.622044897596047122e+02,5.323282793319962366e+03,9.499769620918601731e+02,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.800000000000000000e+01
-3.446280918398765607e+02,-2.808016993607362792e+02,1.157873789417785247e+03,3.111150886209117289e+03,-7.366420799648435604e+02,-5.579675414422033555e+02,5.696070323105568605e+03,1.114299748854587506e+03,9.446745872497558594e+00,1.529837548732757568e-01,-3.059675097465515137e-01,3.900000000000000000e+01
