F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-5.002220859751105309e-12,1.546140993013978004e-11,-3.637978807091712952e-12,1.409716787748038769e-11,-2.728484105318784714e-12,-2.000888343900442123e-11,-2.182787284255027771e-11,1.546140993013978004e-11,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,0.000000000000000000e+00
-6.784134726786292049e+02,-2.498761996724617802e+02,-5.874167071892250078e+02,-4.538666337515587657e+02,-3.862607446751371754e+02,-2.889257686948401442e+02,-5.044743023574819745e+02,-5.156656336732103227e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.000000000000000000e+00
-1.028101386251380063e+03,-5.637567712591906002e+02,-1.078293723673084287e+03,-8.391685745531904104e+02,-8.376295110489079434e+02,-6.521142864964085675e+02,-1.344472199035101767e+03,-9.106480043385379304e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.000000000000000000e+00
-1.066467424579323051e+03,-9.008338139927707289e+02,-1.412731856185169818e+03,-1.096218259932526507e+03,-1.253164888676414421e+03,-1.016269561424030826e+03,-2.150288265475820481e+03,-1.169459260405478290e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,3.000000000000000000e+00
-9.992098628969029050e+02,-1.262792447238100522e+03,-1.653130219554963105e+03,-1.233545033618932621e+03,-1.553007085662070267e+03,-1.348352405906226522e+03,-2.572996194071755781e+03,-1.422215212247146155e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,4.000000000000000000e+00
-9.782849891281116470e+02,-1.707934712976703622e+03,-1.930998759518621682e+03,-1.341547279670435728e+03,-1.828370243358575408e+03,-1.737219886221752859e+03,-3.085235041874976105e+03,-1.784410021726902869e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,5.000000000000000000e+00
-1.069921512310742401e+03,-2.129694473166148782e+03,-2.254478019560579924e+03,-1.501227299486101174e+03,-2.152713773327470790e+03,-2.149841776309514898e+03,-3.985496832752555747e+03,-2.158820918734675615e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,6.000000000000000000e+00
-1.382400175194441090e+03,-2.301647892582639543e+03,-2.477303329843493430e+03,-1.682209554335063785e+03,-2.419399180071869068e+03,-2.377252257595589526e+03,-4.702135773801563118e+03,-2.336343503877825242e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,7.000000000000000000e+00
-1.973995065555630390e+03,-2.256512886346432424e+03,-2.524400632051440880e+03,-1.781008888065920473e+03,-2.526823039687438722e+03,-2.381024276330849716e+03,-4.945733933888082902e+03,-2.314014027219069703e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,8.000000000000000000e+00
-2.665881480272322733e+03,-2.318256501111477519e+03,-2.526379777189591550e+03,-1.767673463060506037e+03,-2.569332490436243461e+03,-2.419772011396168182e+03,-5.421281786913781616e+03,-2.334749363484204423e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,9.000000000000000000e+00
-3.199379185338892057e+03,-2.629877988749890847e+03,-2.640312512256144146e+03,-1.740719657906548036e+03,-2.697940547115089430e+03,-2.669881172633155074e+03,-6.492114462224265480e+03,-2.547833444082724782e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.000000000000000000e+01
-3.640388676445966212e+03,-2.926187357795957723e+03,-2.827307595317725827e+03,-1.796124721200355907e+03,-2.895174723401890333e+03,-2.953866303032856194e+03,-7.444973622229454122e+03,-2.793913982461310752e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.100000000000000000e+01
-4.348982460930408706e+03,-2.924942878445448059e+03,-2.912392813637401559e+03,-1.886238608765842855e+03,-3.010561099615871171e+03,-3.009544785763469918e+03,-7.948407275885840136e+03,-2.834530333296916524e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.200000000000000000e+01
-5.372867904160317266e+03,-2.742767734077442583e+03,-2.838381514668397813e+03,-1.890284964024965575e+03,-2.987689158463035710e+03,-2.877574719812869262e+03,-8.576834135487555614e+03,-2.694871696814532243e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.300000000000000000e+01
-6.281033883323050759e+03,-2.733824012983464854e+03,-2.754644425980269261e+03,-1.801170416207104836e+03,-2.953180713822507641e+03,-2.844596016307871650e+03,-9.269641364296572647e+03,-2.635507590719242216e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.400000000000000000e+01
-6.941158670153199637e+03,-2.984446285694285507e+03,-2.804241561811943939e+03,-1.729818648810869490e+03,-3.028419121416098278e+03,-3.030610943401860368e+03,-9.421112089435311646e+03,-2.784503003593285030e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.500000000000000000e+01
-7.753745269486442339e+03,-3.185412804582142599e+03,-2.915770364291642181e+03,-1.730401167542690473e+03,-3.142790973114018925e+03,-3.214652253037087121e+03,-9.606033160425999085e+03,-2.951200890505746429e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.600000000000000000e+01
-8.596100013297855185e+03,-3.091429712476903660e+03,-2.922808234271702531e+03,-1.745110670414934248e+03,-3.161201243807040555e+03,-3.172100473944491569e+03,-1.060728550543318488e+04,-2.909333795660800206e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.700000000000000000e+01
-8.746810227450296225e+03,-2.887488693162070376e+03,-2.816657940395522019e+03,-1.714033361963890457e+03,-3.105362579830762115e+03,-3.012115306786647125e+03,-1.150735044964148256e+04,-2.730537864030154196e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.800000000000000000e+01
-8.554159316361325182e+03,-2.882381635323188220e+03,-2.727584004565855139e+03,-1.627543184123772789e+03,-3.074629679951365233e+03,-2.977201068154666245e+03,-1.163725847274981243e+04,-2.656089089503954710e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,1.900000000000000000e+01
-9.278658168706779179e+03,-3.048853020720396671e+03,-2.720709156150543095e+03,-1.512838726707027263e+03,-3.071590903614140188e+03,-3.076798615443146446e+03,-1.230039642879897292e+04,-2.742473363579963461e+03,9.484992027282714844e+00,-6.119350194931030273e-01,-1.109132170677185059e+00,2.000000000000000000e+01
