F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-1.818989403545856476e-12,2.364686224609613419e-11,3.183231456205248833e-12,9.094947017729282379e-12,-1.682565198279917240e-11,1.023181539494544268e-11,2.273736754432320595e-11,2.728484105318784714e-12,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,0.000000000000000000e+00
-3.774495194114797414e+02,-1.014555642009611347e+02,-2.124895883981723728e+02,-3.792497190137351026e+02,-2.600518577093162094e+02,-1.767154360354634264e+02,-7.223889301977487776e+02,-1.955411522966171560e+02,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.000000000000000000e+00
-8.816753637942433670e+02,-4.645133434131053036e+02,-5.611723650448375338e+02,-8.075678776581482907e+02,-6.088820175628620746e+02,-5.599109835189069599e+02,-1.445274498808023964e+03,-5.346032358727959490e+02,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,2.000000000000000000e+00
-1.403958097743945928e+03,-9.132827828263726815e+02,-9.820540224499757187e+02,-1.226794176696803106e+03,-1.019608505823124460e+03,-1.013585267817710019e+03,-2.147138802758903694e+03,-9.111271514554707665e+02,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,3.000000000000000000e+00
-1.725677247029233058e+03,-1.203060062073808012e+03,-1.319067619851192831e+03,-1.529034002909559604e+03,-1.389967100606733766e+03,-1.328159839875088437e+03,-2.736896206168709796e+03,-1.172792774549100841e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,4.000000000000000000e+00
-1.839090310661826607e+03,-1.466903365220004616e+03,-1.556842829242843663e+03,-1.690505318533765831e+03,-1.678321966507702655e+03,-1.584442948218593756e+03,-3.252678461758062895e+03,-1.397590917546179753e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,5.000000000000000000e+00
-1.914241589957746783e+03,-1.925410596752560423e+03,-1.824491677094360057e+03,-1.808434812311472569e+03,-1.959703637768478984e+03,-1.977952068029570910e+03,-3.761287097581256148e+03,-1.750440289036784407e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,6.000000000000000000e+00
-2.132175010786892926e+03,-2.414609949451601096e+03,-2.158148221915499562e+03,-1.981694977142588868e+03,-2.284529853291639483e+03,-2.428328270833143506e+03,-4.316445396245104348e+03,-2.156697105179941445e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,7.000000000000000000e+00
-2.589744355805370105e+03,-2.606933312772647696e+03,-2.409405227953186113e+03,-2.185836817251048615e+03,-2.557998038459514646e+03,-2.668383723905947136e+03,-5.115915914846100350e+03,-2.369000841502872390e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,8.000000000000000000e+00
-3.236131686698286103e+03,-2.547075772494430112e+03,-2.469932228827883591e+03,-2.311043785254548311e+03,-2.675526948974209972e+03,-2.668707087892567870e+03,-6.372682075173496742e+03,-2.349208092789758666e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,9.000000000000000000e+00
-3.920868695934799689e+03,-2.607196495471450817e+03,-2.465501932422092068e+03,-2.322694433444205060e+03,-2.720266522698111203e+03,-2.707614727155123546e+03,-7.821963268032295673e+03,-2.356977703749574175e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.000000000000000000e+01
-4.575809577883805105e+03,-2.939383406245836341e+03,-2.585633260961601991e+03,-2.317238083234159603e+03,-2.860253531327475685e+03,-2.969068259029079400e+03,-8.889384882683245451e+03,-2.580735838917016736e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.100000000000000000e+01
-5.219765144237320783e+03,-3.260323145546544310e+03,-2.794393315424874345e+03,-2.381951788578820015e+03,-3.075358539143812322e+03,-3.271639286274070400e+03,-9.583985527192655354e+03,-2.857839499636785149e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.200000000000000000e+01
-5.696142511802165245e+03,-3.276411874446997444e+03,-2.892712111625332454e+03,-2.475897143041114759e+03,-3.191212599893117840e+03,-3.343372947421153185e+03,-1.031921540417810320e+04,-2.918874895382234172e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.300000000000000000e+01
-5.774637519838648586e+03,-3.116981236920127685e+03,-2.835588809303020753e+03,-2.508242081470247285e+03,-3.176994474790604272e+03,-3.233913337571170814e+03,-1.086958329724836403e+04,-2.793401981649284608e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.400000000000000000e+01
-5.745378557651656592e+03,-3.127981806958781817e+03,-2.780620936852700652e+03,-2.460719923583184936e+03,-3.174290495835502043e+03,-3.222525934886094092e+03,-1.100109303378363620e+04,-2.751266557791685045e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.500000000000000000e+01
-6.248747278186359836e+03,-3.356625028030263366e+03,-2.828934795470000608e+03,-2.388025360029835610e+03,-3.243087974235966612e+03,-3.388523101405814486e+03,-1.158040620720431070e+04,-2.894792567064406285e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.600000000000000000e+01
-7.091771179438959734e+03,-3.535674161068839567e+03,-2.921701277459011180e+03,-2.363803892655792424e+03,-3.324359562986038327e+03,-3.549177716363902618e+03,-1.298385760197127456e+04,-3.054614140765216689e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.700000000000000000e+01
-7.268338077440287634e+03,-3.509080237931952070e+03,-2.971628659544587208e+03,-2.414729639136367041e+03,-3.391192388208853572e+03,-3.570469579890871046e+03,-1.385038025865827512e+04,-3.068397861874107548e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.800000000000000000e+01
-6.741703595692834824e+03,-3.374079245353307670e+03,-2.926820762444157481e+03,-2.446308851150514784e+03,-3.408462222691641273e+03,-3.476882786775112436e+03,-1.383354506585005220e+04,-2.948286897880966080e+03,9.446745872497558594e+00,-7.266727685928344727e-01,-1.147378087043762207e+00,1.900000000000000000e+01
