F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-5.911715561524033546e-12,-1.296029950026422739e-11,2.273736754432320595e-12,6.821210263296961784e-12,5.911715561524033546e-12,5.911715561524033546e-12,-6.093614501878619194e-11,2.296474121976643801e-11,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.000000000000000000e+00
-6.709523653355272472e+02,-4.947465219225462079e+02,-4.353399414033101493e+02,-3.320517674227426141e+02,-4.681536791917551454e+02,-4.312244268155500322e+02,-1.146687026937209339e+03,-3.542185134297251352e+02,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,2.000000000000000000e+00
-1.577296111370323160e+03,-8.667846427682397916e+02,-8.590458384668136205e+02,-5.733509206576236465e+02,-9.088962513384417434e+02,-9.493830005446955056e+02,-2.462102055792511237e+03,-8.073579423040298479e+02,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,3.000000000000000000e+00
-2.274418483052555985e+03,-1.175646997404184276e+03,-1.294009936517440337e+03,-7.819593947925318389e+02,-1.345864955632087685e+03,-1.523478945236190157e+03,-3.586791183517199443e+03,-1.327573673764964269e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,4.000000000000000000e+00
-2.396921350754361811e+03,-1.472657929606542893e+03,-1.700619204896101110e+03,-1.043747273896985917e+03,-1.763545476313615382e+03,-1.985250173289143731e+03,-4.205290710632012633e+03,-1.740548873982786517e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,5.000000000000000000e+00
-2.478679957523862413e+03,-1.659453204846081690e+03,-1.956833768964222600e+03,-1.296430827382538155e+03,-2.058245411192177926e+03,-2.196610515084656072e+03,-4.818788744178743400e+03,-1.910185717415335148e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,6.000000000000000000e+00
-3.072515039926416648e+03,-1.743292789062740667e+03,-2.046720466643406326e+03,-1.420570703753189719e+03,-2.197650789784453082e+03,-2.262266057818833360e+03,-6.007885995855289366e+03,-1.943322735978164928e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,7.000000000000000000e+00
-3.738961610013020163e+03,-1.953683480006840000e+03,-2.143565972087415048e+03,-1.443410422869655122e+03,-2.326148063499492309e+03,-2.444323328592640792e+03,-7.342968559363720487e+03,-2.093280036195119010e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,8.000000000000000000e+00
-3.957996854641416576e+03,-2.358025765818276341e+03,-2.372460247428613457e+03,-1.501991637619939866e+03,-2.566413002134908311e+03,-2.802001023445224746e+03,-8.121611904849976781e+03,-2.414054708395311536e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,9.000000000000000000e+00
-4.327276256067008944e+03,-2.641756589409675144e+03,-2.607107887724021566e+03,-1.629404794577879557e+03,-2.809523657712642944e+03,-3.077716062609899382e+03,-8.778762115545234337e+03,-2.661640447945023425e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.000000000000000000e+01
-5.358269873581803040e+03,-2.588337734796908080e+03,-2.669915326852469661e+03,-1.729148622541692930e+03,-2.899456076006503281e+03,-3.084052127017995190e+03,-9.741831021288971897e+03,-2.653557609156974650e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.100000000000000000e+01
-6.301211071697660373e+03,-2.476514836508436474e+03,-2.614882620972529821e+03,-1.740679106146047161e+03,-2.901273086976662853e+03,-3.007407237331978649e+03,-1.023164330832242558e+04,-2.553998629546972552e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.200000000000000000e+01
-6.754180616472912334e+03,-2.641513393083494520e+03,-2.626018461654705334e+03,-1.702035786483583252e+03,-2.966462565219382668e+03,-3.115552517862193781e+03,-1.023649034048805333e+04,-2.623314017037079793e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.300000000000000000e+01
-7.574751928808687808e+03,-2.945276565230497908e+03,-2.739711414209886698e+03,-1.676932853653644543e+03,-3.083968993341770783e+03,-3.356964354259017455e+03,-1.120597072898585975e+04,-2.837650202025271938e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.400000000000000000e+01
-8.633271579953869150e+03,-3.056122967735088423e+03,-2.843738481958569537e+03,-1.707686869215569004e+03,-3.175885266535615756e+03,-3.495055275582252762e+03,-1.278332172904194158e+04,-2.966665210882197243e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.500000000000000000e+01
-8.472925490542471380e+03,-2.958588002107984721e+03,-2.856893898456333773e+03,-1.775296993142495921e+03,-3.241717411031675056e+03,-3.463567339349270242e+03,-1.286334868038360764e+04,-2.912749118923794867e+03,9.484992027282714844e+00,-7.649186849594116211e-01,-1.109132170677185059e+00,1.600000000000000000e+01
